source_row,row_text,A,B,C,D
153,0xC0 | Y (Vertical) position (Prev. Frame) | Float,0xC0,Y (Vertical) position (Prev. Frame),Float,
154,0xC4 | Z (Depth) Position (Prev. Frame) | Float,0xC4,Z (Depth) Position (Prev. Frame),Float,
155,0xC8 | X Delta (Curr - Prev Pos) | Float,0xC8,X Delta (Curr - Prev Pos),Float,
156,0xCC | Y Delta (Curr - Prev Pos) | Float,0xCC,Y Delta (Curr - Prev Pos),Float,
157,0xD0 | Z Delta (Curr - Prev Pos) | Float,0xD0,Z Delta (Curr - Prev Pos),Float,
158,"0xE0 | Ground/Air state | 0x00000000 on ground, 0x00000001 in air. Changing does nothing.",0xE0,Ground/Air state,"0x00000000 on ground, 0x00000001 in air. Changing does nothing.",
159,"0xE4 | Ground Acceleration 1 (Added to 0xEC) | Float. Added to Acceleration (0x74 - 0x7C) according to surface, and added to Ground Velocity when used.",0xE4,Ground Acceleration 1 (Added to 0xEC),"Float. Added to Acceleration (0x74 - 0x7C) according to surface, and added to Ground Velocity when used.",
160,"0xE8 | Ground Acceleration 2 | Float. Similar to Ground Acceleration 1 in concept, but used differently: not added to Acceleration, thus shows no immediate effect on velocity. Has effect to self-induced velocity on 1 frame delay, as it's added to Ground Velocity.",0xE8,Ground Acceleration 2,"Float. Similar to Ground Acceleration 1 in concept, but used differently: not added to Acceleration, thus shows no immediate effect on velocity. Has effect to self-induced velocity on 1 frame delay, as it's added to Ground Velocity.",
161,"0xEC | Ground Velocity (ground, self-induced) | Float. Self-induced. 1-dimensional ground velocity, which is converted to 3-dimensional velocity each grounded frame, according to surface angle. Replaces self-induced velocity with the converted vector.",0xEC,"Ground Velocity (ground, self-induced)","Float. Self-induced. 1-dimensional ground velocity, which is converted to 3-dimensional velocity each grounded frame, according to surface angle. Replaces self-induced velocity with the converted vector.",
162,"0xF0 | Ground knockback velocity (ground, attack-induced) | Float. Attack-induced. 1-dimensional ground velocity, which is converted to 3-dimensional velocity each grounded frame",0xF0,"Ground knockback velocity (ground, attack-induced)","Float. Attack-induced. 1-dimensional ground velocity, which is converted to 3-dimensional velocity each grounded frame",
163,"0xF4 | Ground attacker shield knockback velocity | Float. Shield hit induced. 1-dimensional ground velocity, which is converted to 3-dimensional velocity each grounded frame, according to surface angle.",0xF4,Ground attacker shield knockback velocity,"Float. Shield hit induced. 1-dimensional ground velocity, which is converted to 3-dimensional velocity each grounded frame, according to surface angle.",
164,0xF8 | Player Nudge Velocity X | Float. Horizontal velocity that grounded character gains when pushed by being close to another character.,0xF8,Player Nudge Velocity X,Float. Horizontal velocity that grounded character gains when pushed by being close to another character.,
165,0xFC | Player Nudge Velocity Z | Float. Depth velocity that grounded character gains when pushed by being close to another character.,0xFC,Player Nudge Velocity Z,Float. Depth velocity that grounded character gains when pushed by being close to another character.,
166,0x100 | ??? | Float.,0x100,???,Float.,
167,0x104 | Unk Pointer,0x104,Unk Pointer,,
168,0x108 | Unk Pointer,0x108,Unk Pointer,,
169,"0x10C | Pointer to .dat file in RAM | 0x8 from the address located here contains a pointer to the start of the .dat (0x20 of the start of the .dat in RAM)\n0x44 from the address located here contains a pointer to ledge grab box values. 0x10,014,0x18 are ledge grab box values",0x10C,Pointer to .dat file in RAM,"0x8 from the address located here contains a pointer to the start of the .dat (0x20 of the start of the .dat in RAM)\n0x44 from the address located here contains a pointer to ledge grab box values. 0x10,014,0x18 are ledge grab box values",
171,Character Attributes | These values are taken from the dat files and loaded directly into memory.,Character Attributes,,These values are taken from the dat files and loaded directly into memory.,
172,0x110 | Walk initial velocity | Float.,0x110,Walk initial velocity,Float.,
173,0x114 | Walk acceleration,0x114,Walk acceleration,,
174,0x118 | Walk terminal velocity,0x118,Walk terminal velocity,,
175,0x11C | Slow walk max?,0x11C,Slow walk max?,,
176,0x120 | Mid walk point?,0x120,Mid walk point?,,
177,0x124 | Fast walk min?,0x124,Fast walk min?,,
178,0x128 | Ground friction,0x128,Ground friction,,
179,0x12C | Dash initial velocity,0x12C,Dash initial velocity,,
180,0x130 | Dash/run acceleration A | ... | Dash/Run Analog - Is used a multiplier for the Stick X position,0x130,Dash/run acceleration A,...,Dash/Run Analog - Is used a multiplier for the Stick X position
181,0x134 | Dash/run acceleration B | Dash/Run Base - Is used a constant,0x134,Dash/run acceleration B,,Dash/Run Base - Is used a constant
182,0x138 | Dash/run terminal velocity,0x138,Dash/run terminal velocity,,
183,0x13C | Run animation scaling,0x13C,Run animation scaling,,
184,0x140 | Max RunBrake Frames,0x140,Max RunBrake Frames,,
185,0x144 | Grounded Max Horizontal Velocity,0x144,Grounded Max Horizontal Velocity,,
186,0x148 | Jump startup time,0x148,Jump startup time,,
187,0x14C | Jump H initial velocity,0x14C,Jump H initial velocity,,
188,0x150 | Jump V initial velocity,0x150,Jump V initial velocity,,
189,0x154 | Ground to air jump momentum multiplier,0x154,Ground to air jump momentum multiplier,,
190,0x158 | Jump H max velocity,0x158,Jump H max velocity,,
191,0x15C | Hop V initial velocity,0x15C,Hop V initial velocity,,
192,0x160 | Air jump V multiplier,0x160,Air jump V multiplier,,
193,0x164 | Air jump H multiplier,0x164,Air jump H multiplier,,
194,0x168 | Max Jumps,0x168,Max Jumps,,
